epoch,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi,total,val_loudness_zwtv,val_sharpness_din_tv,val_roughness_dw,val_tnr_ecma_perseg,val_sii_ansi,val_total
11,9.034534454345703,0.2574707865715027,0.08256790041923523,51.393375396728516,0.01367289200425148,2.382317543029785,8.217994689941406,0.25666573643684387,0.07863157987594604,51.7186279296875,0.012809461914002895,2.3196184635162354
12,8.97077751159668,0.2564719021320343,0.08274814486503601,51.06123352050781,0.012971351854503155,2.365915060043335,8.192225456237793,0.2517831027507782,0.07889547944068909,51.05153274536133,0.012536691501736641,2.3007094860076904
13,8.882363319396973,0.2553948163986206,0.0820385292172432,50.76502990722656,0.013032267801463604,2.3518905639648438,8.110963821411133,0.2560275197029114,0.07958853244781494,51.30350112915039,0.015009038150310516,2.3549675941467285
14,8.753023147583008,0.2536574900150299,0.0818372517824173,50.46311950683594,0.013150429353117943,2.3426513671875,8.288418769836426,0.2502862215042114,0.07919088751077652,50.59633255004883,0.012828677892684937,2.300480604171753
15,8.793096542358398,0.25349506735801697,0.08191927522420883,50.315223693847656,0.012831280939280987,2.336585521697998,8.386113166809082,0.24970293045043945,0.07827161252498627,50.25617599487305,0.01594005897641182,2.3339028358459473
16,8.632583618164062,0.2524012327194214,0.08157416433095932,50.00968551635742,0.012662590481340885,2.32175350189209,8.073034286499023,0.2540416419506073,0.0791756883263588,50.38920593261719,0.011743120849132538,2.2823665142059326
17,8.657831192016602,0.25191131234169006,0.08185087889432907,49.89240264892578,0.012282616458833218,2.31667160987854,7.962644577026367,0.24997439980506897,0.07999488711357117,50.23543930053711,0.012780685909092426,2.2977330684661865
18,8.633323669433594,0.252143919467926,0.0813102275133133,49.743675231933594,0.01242134440690279,2.310645341873169,8.011256217956543,0.24692431092262268,0.07745866477489471,49.90719985961914,0.012821814976632595,2.262542486190796
19,8.513703346252441,0.25121888518333435,0.08134368062019348,49.57131576538086,0.012329689227044582,2.3039605617523193,7.948268413543701,0.2465498447418213,0.07855865359306335,49.60126876831055,0.02021748572587967,2.3824496269226074
20,8.528765678405762,0.25044891238212585,0.08111520111560822,49.391639709472656,0.012080338783562183,2.293978691101074,8.024944305419922,0.24586769938468933,0.07870518416166306,49.590633392333984,0.01155434176325798,2.250049591064453
21,8.571311950683594,0.25041982531547546,0.08085708320140839,49.44485092163086,0.012191684916615486,2.294323444366455,7.952068328857422,0.24834555387496948,0.07876666635274887,49.10287857055664,0.011567545123398304,2.245534658432007
22,8.51498031616211,0.2499423772096634,0.0808221772313118,49.148155212402344,0.012029229663312435,2.28531813621521,7.787232875823975,0.24589835107326508,0.08002255111932755,49.18064880371094,0.01430729404091835,2.2970032691955566
23,8.439824104309082,0.24915964901447296,0.08077072352170944,49.03248596191406,0.011787978932261467,2.277113437652588,7.767617702484131,0.24417519569396973,0.07826244086027145,48.859195709228516,0.014683947898447514,2.276278018951416
24,8.395587921142578,0.24867039918899536,0.080823615193367,48.9838981628418,0.012001890689134598,2.278947591781616,7.976535320281982,0.24656307697296143,0.07818030565977097,49.16124725341797,0.011224805377423763,2.232804775238037
25,8.322698593139648,0.24866515398025513,0.0806589126586914,48.982784271240234,0.011759617365896702,2.272409439086914,7.668676853179932,0.24393554031848907,0.07945631444454193,48.64039993286133,0.01159911509603262,2.236226797103882
26,8.377300262451172,0.2483266294002533,0.08058939129114151,48.7236442565918,0.012154222466051579,2.2739551067352295,7.77221155166626,0.24484820663928986,0.07850339263677597,48.89048767089844,0.011984668672084808,2.2385964393615723
27,8.374499320983887,0.2488880604505539,0.08069723099470139,48.68307876586914,0.011909911409020424,2.271411657333374,7.690186023712158,0.24491873383522034,0.07842572778463364,49.249820709228516,0.01097879745066166,2.22687029838562
28,8.27975845336914,0.2474767118692398,0.08050141483545303,48.63990020751953,0.011714589782059193,2.2623982429504395,7.683559894561768,0.24514508247375488,0.07800255715847015,49.729454040527344,0.013621944934129715,2.271010398864746
29,8.32939624786377,0.2471388876438141,0.08012427389621735,48.44120788574219,0.011932088062167168,2.2587997913360596,7.793172359466553,0.24383144080638885,0.08088243007659912,49.15805435180664,0.011380365118384361,2.2578952312469482
